Unnamed: 0,cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,contributions,percentage_votes,in_db,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
236,NIKEMA WILLIAMS,2024,federal:house,GA,5,DEMOCRAT,unknown,Won,unknown,0.856787056,True,http://nikemaforcongress.com,,,,,,
237,"JOHN \""BONGO\"" SALVESEN",2024,federal:house,GA,5,REPUBLICAN,unknown,Lost,unknown,0.143212944,False,https://www.bongoforcongress.com/,https://www.facebook.com/profile.php?id=61550223338582,,,,https://www.facebook.com/john.salvesen.18,https://www.linkedin.com/in/john-salvesen-6b26ab1a/
238,LUCY MCBATH,2024,federal:house,GA,6,DEMOCRAT,unknown,Won,unknown,0.746832338,True,http://lucyforcongress.com,,,,,,
239,JEFF CRISWELL,2024,federal:house,GA,6,REPUBLICAN,unknown,Lost,unknown,0.253167662,True,https://jeffcriswell.com/,https://www.facebook.com/people/Jeff-Criswell-for-Congress-GA-14,https://x.com/JCriswell4Him,,,https://www.facebook.com/jeff.criswell,
240,RICHARD MCCORMICK,2024,federal:house,GA,7,REPUBLICAN,unknown,Won,unknown,0.648518482,False,https://www.richmccormick.us/,,,,,,
241,BOB CHRISTIAN,2024,federal:house,GA,7,DEMOCRAT,unknown,Lost,unknown,0.351481518,True,https://christianforga7.com,https://www.facebook.com/christianforga7/,https://x.com/ChristianForGA7,https://www.instagram.com/christianforga7,,,
242,AUSTIN SCOTT,2024,federal:house,GA,8,REPUBLICAN,unknown,Won,unknown,0.689166947,True,http://scottforga.com,,,,,,
243,DARRIUS BUTLER,2024,federal:house,GA,8,DEMOCRAT,unknown,Lost,unknown,0.310833053,True,https://www.darriusbutler.com/,https://www.facebook.com/ButlerforGeorgia/,https://x.com/RevDButler,https://www.instagram.com/darriusmbutler,,https://www.facebook.com/darrius.butler.712,https://www.linkedin.com/in/darrius-butler-3616964a/
244,ANDREW S. CLYDE,2024,federal:house,GA,9,REPUBLICAN,unknown,Won,unknown,0.690048267,False,https://www.clyde4congress.com/,https://www.facebook.com/Clyde4Congress,,,,,
245,TAMBREI CASH,2024,federal:house,GA,9,DEMOCRAT,unknown,Lost,unknown,0.309951733,True,https://www.cash4ga.com,https://www.facebook.com/cash4ga,https://x.com/cash4ga,https://www.instagram.com/cash4ga,,https://www.facebook.com/tambrei,https://www.linkedin.com/in/tambrei-cash-4357a1b2/
246,MIKE COLLINS,2024,federal:house,GA,10,REPUBLICAN,unknown,Won,unknown,0.630518593,True,http://mikecollinsga.com,,,,,,
247,"ALEXANDRA \""LEXY\"" DOHERTY",2024,federal:house,GA,10,DEMOCRAT,unknown,Lost,unknown,0.369481407,False,https://www.lexydoherty.com/,,,,,,
248,BARRY LOUDERMILK,2024,federal:house,GA,11,REPUBLICAN,unknown,Won,unknown,0.673086181,True,http://standwithbarry.com,,,,,,
249,"KATY \""KATE\"" L. STAMPER",2024,federal:house,GA,11,DEMOCRAT,unknown,Lost,unknown,0.326913819,False,https://katylstamper.com/,,,,,,
250,RICK W. ALLEN,2024,federal:house,GA,12,REPUBLICAN,unknown,Won,unknown,0.603192231,False,https://rickwallen.com/,https://www.facebook.com/RickAllenGA,https://x.com/rickallen,https://www.instagram.com/rickallenga/,,,https://www.linkedin.com/in/rick-allen-for-us-congress-ga-2-a2b86750/
251,"ELIZABETH \""LIZ\"" JOHNSON",2024,federal:house,GA,12,DEMOCRAT,unknown,Lost,unknown,0.396807769,False,https://vote-usa.org/intro.aspx?state=ga&id=gajohnsonelizabeth,,,,,,
252,DAVID SCOTT,2024,federal:house,GA,13,DEMOCRAT,unknown,Won,unknown,0.718341759,True,http://votedavidscott.com,,,,,,
253,JONATHAN CHAVEZ,2024,federal:house,GA,13,REPUBLICAN,unknown,Lost,unknown,0.281658241,True,https://jonathanchavezforcongress.com/,,,,,,
254,MARJORIE TAYLOR GREENE,2024,federal:house,GA,14,REPUBLICAN,unknown,Won,unknown,0.643687947,True,http://mtgforamerica.com,,,,,,
255,SHAWN HARRIS,2024,federal:house,GA,14,DEMOCRAT,unknown,Lost,unknown,0.356312053,True,https://votevets.org/press-releases/votevets-pac-endorses-shawn-harris-for-congress,,,,,https://www.facebook.com/shawn.a.harris.798,
256,ED CASE,2024,federal:house,HI,1,DEMOCRAT,unknown,Won,unknown,0.653206434,True,http://edcase.com,,,,,,
257,PATRICK C. LARGEY,2024,federal:house,HI,1,REPUBLICAN,unknown,Lost,unknown,0.256025486,False,https://www.freedom4hawaii.com/,,,,,https://www.facebook.com/patrick.largey/,
258,JILL N. TOKUDA,2024,federal:house,HI,2,DEMOCRAT,unknown,Won,unknown,0.613916338,False,https://www.tokudaforhawaii.com/meet-jill/,,,,,,
259,STEVE BOND,2024,federal:house,HI,2,REPUBLICAN,unknown,Lost,unknown,0.278692338,True,https://votestevebond.com/,,,,,,
260,MARIANNETTE MILLER-MEEKS,2024,federal:house,IA,1,REPUBLICAN,unknown,Won,unknown,0.49979714,True,http://drmillermeeks.com,,,,,,
261,CHRISTINA BOHANNAN,2024,federal:house,IA,1,DEMOCRAT,unknown,Lost,unknown,0.497867552,True,https://bohannanforcongress.com/,,,,,,
262,ASHLEY HINSON,2024,federal:house,IA,2,REPUBLICAN,unknown,Won,unknown,0.570789771,True,http://ashleyhinson.com,,,,,,
263,SARAH CORKERY,2024,federal:house,IA,2,DEMOCRAT,unknown,Lost,unknown,0.415213233,True,http://corkeryforcongress.com/,,,,,,
264,ZACHARY NUNN,2024,federal:house,IA,3,REPUBLICAN,unknown,Won,unknown,0.517663869,False,https://electnunnforcongress.com/campaign/,,,,,,
265,LANON BACCAM,2024,federal:house,IA,3,DEMOCRAT,unknown,Lost,unknown,0.479437159,True,https://lanonbaccam.com/,,,,,,
266,RANDY FEENSTRA,2024,federal:house,IA,4,REPUBLICAN,unknown,Won,unknown,0.670160289,True,http://feenstraforgovernor.com,,,,,,
267,RYAN MELTON,2024,federal:house,IA,4,DEMOCRAT,unknown,Lost,unknown,0.326824923,True,https://www.meltonforiowa.com,https://www.facebook.com/meltonforiowa/,https://x.com/melton4iowa,https://www.instagram.com/melton4iowa,,https://www.facebook.com/ryan.appletonmelton,https://www.linkedin.com/in/ryan-melton-ma-a2783229/
268,RUSS FULCHER,2024,federal:house,ID,1,REPUBLICAN,unknown,Won,unknown,0.676872779,True,http://russfulcher.com,,,,,,
269,KAYLEE PETERSON,2024,federal:house,ID,1,DEMOCRAT,unknown,Lost,unknown,0.24260764,False,https://kayleeforcongress.com/,,,,,,
270,MICHAEL K. SIMPSON,2024,federal:house,ID,2,REPUBLICAN,unknown,Won,unknown,0.583689214,False,https://simpsonforcongress.com/,https://www.facebook.com/profile.php?id=100058222833135,https://x.com/MikeSimpson4ID,,,,
271,DAVID ROTH,2024,federal:house,ID,2,DEMOCRAT,unknown,Lost,unknown,0.294573806,True,https://rothforidaho.org,https://www.facebook.com/rothforIdaho,https://x.com/rothforidaho,https://www.instagram.com/rothforidaho,,,https://www.linkedin.com/in/davidjroth/
272,JONATHAN L. JACKSON,2024,federal:house,IL,1,DEMOCRAT,unknown,Won,unknown,0.658430935,False,,,,,,,
273,MARCUS LEWIS,2024,federal:house,IL,1,REPUBLICAN,unknown,Lost,unknown,0.341426888,True,https://marcuslewisforcongress.org/,,,,,https://www.facebook.com/aldermanpat.dowell,https://www.linkedin.com/in/pat-dowell-a20933b/
274,ROBIN L. KELLY,2024,federal:house,IL,2,DEMOCRAT,unknown,Won,unknown,0.675458783,False,,,,,,,
275,ASHLEY RAMOS,2024,federal:house,IL,2,REPUBLICAN,unknown,Lost,unknown,0.324327308,True,https://www.electashleyramos.com/donate,,,,,,
276,DELIA C. RAMIREZ,2024,federal:house,IL,3,DEMOCRAT,unknown,Won,unknown,0.672641858,False,https://www.deliaforcongress.com/,,,,,,
277,JOHN BOORAS,2024,federal:house,IL,3,REPUBLICAN,unknown,Lost,unknown,0.326988781,True,https://www.deliaforcongress.com,https://www.facebook.com/DeliaRamirezIL,https://x.com/DeliaRamirezIL,https://www.instagram.com/deliaramirezil/,,https://www.facebook.com/delia.ramirez.9231,https://www.linkedin.com/in/delia-catalina-ramirez-ab91bb70/
278,"JESúS G. \""CHUY\"" GARCíA",2024,federal:house,IL,4,DEMOCRAT,unknown,Won,unknown,0.675124518,False,https://chuyforcongress.com,https://www.facebook.com/ChuyForCongress,https://x.com/Chuy4Congress,https://www.instagram.com/chuyforchicago_,,,https://www.linkedin.com/company/chuyforcongress/about/
279,LUPE CASTILLO,2024,federal:house,IL,4,REPUBLICAN,unknown,Lost,unknown,0.27288804,True,,,,,,https://www.facebook.com/profile.php?id=100084542564496,
280,MIKE QUIGLEY,2024,federal:house,IL,5,DEMOCRAT,unknown,Won,unknown,0.689695438,True,http://quigleyforcongress.com,,,,,,
281,TOMMY HANSON,2024,federal:house,IL,5,REPUBLICAN,unknown,Lost,unknown,0.310279835,True,https://votetommyhanson.com/,https://www.facebook.com/profile.php?id=100084174752154,,https://www.instagram.com/votetommyhanson/,,,
282,SEAN CASTEN,2024,federal:house,IL,6,DEMOCRAT,unknown,Won,unknown,0.541952713,True,http://castenforcongress.com,,,,,,
283,NIKI CONFORTI,2024,federal:house,IL,6,REPUBLICAN,unknown,Lost,unknown,0.457810274,True,https://conforti4congress.com/,https://www.facebook.com/profile.php?id=100069103934193,https://x.com/conforti_niki,https://www.instagram.com/niki_conforti/,,https://www.facebook.com/niki.conforti,https://www.linkedin.com/in/niki-conforti-34b75b8/
284,DANNY K. DAVIS,2024,federal:house,IL,7,DEMOCRAT,unknown,Won,unknown,0.832514823,False,https://www.dannykdavis.com,https://www.facebook.com/Congressmandkd,https://x.com/DannyKDavis7th,https://www.instagram.com/DannyKDavis7th/,,https://www.facebook.com/dkdcongress,https://www.linkedin.com/in/danny-davis-329504234/
285,CHAD KOPPIE,2024,federal:house,IL,7,REPUBLICAN,unknown,Lost,unknown,0.166938672,True,https://peggyhubbardforsenate.com/,https://www.facebook.com/pahubb43/,https://x.com/PeggyHubbardIL,,,https://www.facebook.com/peggy.hubbard.716,
286,RAJA KRISHNAMOORTHI,2024,federal:house,IL,8,DEMOCRAT,unknown,Won,unknown,0.570555609,True,http://rajaforil.com,,,,,,
287,MARK RICE,2024,federal:house,IL,8,REPUBLICAN,unknown,Lost,unknown,0.429444391,True,https://rice4congress.com,https://www.facebook.com/MarkRiceForCongressIL8/,,https://www.instagram.com/MarkRiceForCongress,,,https://www.linkedin.com/in/mark-rice-14677710
288,JANICE D. SCHAKOWSKY,2024,federal:house,IL,9,DEMOCRAT,unknown,Won,unknown,0.683892713,False,,,,,,,
289,SETH ALAN COHEN,2024,federal:house,IL,9,REPUBLICAN,unknown,Lost,unknown,0.316107287,False,https://www.sethalancohen.com/politics,,,,,,
290,BRADLEY SCOTT SCHNEIDER,2024,federal:house,IL,10,DEMOCRAT,unknown,Won,unknown,0.599344975,False,https://www.schneiderforcongress.com,https://www.facebook.com/schneiderforcongress,https://x.com/Schneider4IL10,https://www.instagram.com/schneiderforcongress/,,https://www.facebook.com/adsdad61,https://www.linkedin.com/in/brad-schneider-4b91586/
291,JIM CARRIS,2024,federal:house,IL,10,REPUBLICAN,unknown,Lost,unknown,0.399928576,True,https://carrisforcongress.com,https://www.facebook.com/CarrisforCongress/,https://x.com/CarrisforIL,https://www.instagram.com/carrisforcongress/,,https://www.facebook.com/jim.carris,https://www.linkedin.com/in/jim-carris/
292,BILL FOSTER,2024,federal:house,IL,11,DEMOCRAT,unknown,Won,unknown,0.5555571,True,http://billfoster.com,,,,,,
293,JERRY EVANS,2024,federal:house,IL,11,REPUBLICAN,unknown,Lost,unknown,0.44380623,True,https://ivoterguide.com/candidate/49254/race/1352/election/1195,,,,,,
294,MIKE BOST,2024,federal:house,IL,12,REPUBLICAN,unknown,Won,unknown,0.741927323,True,http://bostforcongress.com,,,,,,
295,BRIAN ROBERTS,2024,federal:house,IL,12,DEMOCRAT,unknown,Lost,unknown,0.258072677,True,https://lykelect.com/post/brian-roberts/c1a72fa4-a655-4611-9cc4-e2f10f374c99/,,,,,,
296,NIKKI BUDZINSKI,2024,federal:house,IL,13,DEMOCRAT,unknown,Won,unknown,0.580694992,True,http://nikkiforcongress.com,,,,,,
297,JOSHUA LOYD,2024,federal:house,IL,13,REPUBLICAN,unknown,Lost,unknown,0.418564492,True,https://loydforcongress.com,https://www.facebook.com/LoydForCongress,https://x.com/JoshuaLoyd_,https://www.instagram.com/loydforcongress,,https://www.facebook.com/Illinois13,https://www.linkedin.com/in/joshua-loyd1/
298,LAUREN UNDERWOOD,2024,federal:house,IL,14,DEMOCRAT,unknown,Won,unknown,0.551006371,True,http://underwoodforcongress.com,,,,,,
299,"JAMES T. \""JIM\"" MARTER",2024,federal:house,IL,14,REPUBLICAN,unknown,Lost,unknown,0.44893656,False,https://marter4congress.us/,,,,,,
300,MARY E. MILLER,2024,federal:house,IL,15,REPUBLICAN,unknown,Won,unknown,0.995458267,False,https://marymillerforcongress.com,https://www.facebook.com/MaryMillerforCongress/,https://x.com/Miller_Congress,https://www.instagram.com/MaryMillerForCongress,,,
301,WILLIAM BONNETT,2024,federal:house,IL,15,,unknown,Lost,unknown,0.004541733,False,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=673416,,,,,,
302,DARIN LAHOOD,2024,federal:house,IL,16,REPUBLICAN,unknown,Won,unknown,0.99941178,True,http://lahoodforcongress.com,,,,,,
303,SCOTT SUMMERS,2024,federal:house,IL,16,,unknown,Lost,unknown,0.00058822,False,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=39934,,,,http://summersforsenate.us/,,
304,ERIC SORENSEN,2024,federal:house,IL,17,DEMOCRAT,unknown,Won,unknown,0.544263941,True,http://ericforillinois.com,,,,,,
305,JOE MCGRAW,2024,federal:house,IL,17,REPUBLICAN,unknown,Lost,unknown,0.455736059,False,,,,,,,
306,FRANK J. MRVAN,2024,federal:house,IN,1,DEMOCRAT,unknown,Won,unknown,0.534411864,True,http://mrvanforcongress.com,,,,,,
307,RANDY NIEMEYER,2024,federal:house,IN,1,REPUBLICAN,unknown,Lost,unknown,0.449475247,True,https://www.niemeyerforcongress.com/,https://www.facebook.com/NiemeyerRandy,https://x.com/Niemeyer_Randy,https://www.instagram.com/niemeyer_randy/,,https://www.facebook.com/Randy4LakeCountyCouncil,https://www.linkedin.com/in/randy-niemeyer-09012092/
308,RUDY YAKYM III,2024,federal:house,IN,2,REPUBLICAN,unknown,Won,unknown,0.62741584,False,,,,,,,
309,LORI A. CAMP,2024,federal:house,IN,2,DEMOCRAT,unknown,Lost,unknown,0.346082045,False,https://www.campforcongress.com,https://www.facebook.com/profile.php?id=61556285858380,https://x.com/campforcongress,https://www.instagram.com/camp_for_congress,,https://www.facebook.com/lorithehappycamper,https://www.linkedin.com/in/lori-camp-43b63835/
310,MARLIN A. STUTZMAN,2024,federal:house,IN,3,REPUBLICAN,unknown,Won,unknown,0.650489987,False,,,,,,,
311,KILEY M. ADOLPH,2024,federal:house,IN,3,DEMOCRAT,unknown,Lost,unknown,0.314153284,False,https://vote-usa.org/Intro.aspx?State=IN&Id=INAdolphKileyM,,,,,,
312,JAMES R. BAIRD,2024,federal:house,IN,4,REPUBLICAN,unknown,Won,unknown,0.648322749,False,,https://www.facebook.com/Elect.Jim.Baird/,,https://www.instagram.com/electjimbaird/,,https://www.facebook.com/jim.baird.96,https://www.linkedin.com/in/jim-baird-8391a72a/
313,DERRICK HOLDER,2024,federal:house,IN,4,DEMOCRAT,unknown,Lost,unknown,0.309309476,True,https://www.derrickholder.com/,,,,,,
314,VICTORIA SPARTZ,2024,federal:house,IN,5,REPUBLICAN,unknown,Won,unknown,0.565954165,True,http://spartzforcongress.com,,,,,,
315,DEBORAH A. PICKETT,2024,federal:house,IN,5,DEMOCRAT,unknown,Lost,unknown,0.380157237,False,https://pickettforcongress.com/,,,,,,
316,JEFFERSON SHREVE,2024,federal:house,IN,6,REPUBLICAN,unknown,Won,unknown,0.639413291,True,http://shreveforcongress.com,,,,,,
317,"CYNTHIA \""CINDE\"" WIRTH",2024,federal:house,IN,6,DEMOCRAT,unknown,Lost,unknown,0.317047147,False,https://www.wirth4congress.com,https://www.facebook.com/cwirth4congress,https://x.com/cwirth4congress,https://www.instagram.com/wirth4congress,,https://www.facebook.com/cinde.wirth.5,https://www.linkedin.com/in/cinde-cynthia-wirth-ma
318,ANDRé CARSON,2024,federal:house,IN,7,DEMOCRAT,unknown,Won,unknown,0.683403883,True,http://andrecarson.com,,,,,,
319,JOHN P. SCHMITZ,2024,federal:house,IN,7,REPUBLICAN,unknown,Lost,unknown,0.289518938,False,https://www.johnschmitzforcongress.com/,https://www.facebook.com/schmitz4Indiana/,https://x.com/House97Schmitz,,,https://www.facebook.com/john.p.schmitz.1,https://www.linkedin.com/in/john-schmitz-6a46246/
320,MARK MESSMER,2024,federal:house,IN,8,REPUBLICAN,unknown,Won,unknown,0.679600041,True,http://markmessmer.com,,,,,,
321,ERIK HURT,2024,federal:house,IN,8,DEMOCRAT,unknown,Lost,unknown,0.294503342,True,https://bluevoterguide.org/IN/candidate_Erik_Hurt/529361,,,,,,
322,ERIN HOUCHIN,2024,federal:house,IN,9,REPUBLICAN,unknown,Won,unknown,0.644661565,True,http://erinhouchin.com,,,,,,
323,"TIMOTHY \""TIM\"" PECK",2024,federal:house,IN,9,DEMOCRAT,unknown,Lost,unknown,0.32799403,False,https://timpeckforcongress.com/home,https://www.facebook.com/timpeckforcongress/,https://x.com/TimPeckforCong,https://www.instagram.com/timpeckforcongress/,,,https://www.linkedin.com/company/tim-peck-for-congress/
324,TRACEY MANN,2024,federal:house,KS,1,REPUBLICAN,unknown,Won,unknown,0.691369581,True,http://traceymann.com,,,,,,
325,PAUL BUSKIRK,2024,federal:house,KS,1,DEMOCRAT,unknown,Lost,unknown,0.308630419,True,https://buskirkforcongress.com/,https://www.facebook.com/profile.php?id=61553347335591,https://x.com/PaulBuskirk,,,https://www.facebook.com/paul.buskirk.1,
326,DEREK SCHMIDT,2024,federal:house,KS,2,REPUBLICAN,unknown,Won,unknown,0.570902461,True,http://derekschmidt.com,,,,,,
327,NANCY BOYDA,2024,federal:house,KS,2,DEMOCRAT,unknown,Lost,unknown,0.382100072,True,https://boydaforkansas.com/,,,,,,
328,SHARICE DAVIDS,2024,federal:house,KS,3,DEMOCRAT,unknown,Won,unknown,0.533570791,True,http://shariceforcongress.com,,,,,,
329,PRASANTH REDDY,2024,federal:house,KS,3,REPUBLICAN,unknown,Lost,unknown,0.426025785,True,https://reddyforkansas.com,https://www.facebook.com/drreddyks/,https://x.com/DrReddyKS,https://www.instagram.com/DrReddyKS/,,,https://www.linkedin.com/in/prasanth-reddy-md-mph-facp-052520128/
330,RON ESTES,2024,federal:house,KS,4,REPUBLICAN,unknown,Won,unknown,0.650498038,True,http://estesforcongress.com,,,,,,
331,ESAU FREEMAN,2024,federal:house,KS,4,DEMOCRAT,unknown,Lost,unknown,0.349501962,True,https://bluevoterguide.org/KS/candidate_Esau_Freeman/17672,,,,,,
332,JAMES COMER,2024,federal:house,KY,1,REPUBLICAN,unknown,Won,unknown,0.74715967,True,http://jamescomer.com,,,,,,
333,ERIN MARSHALL,2024,federal:house,KY,1,DEMOCRAT,unknown,Lost,unknown,0.25284033,True,https://www.erinforky.com/,https://www.facebook.com/erinforky,https://x.com/ErinforKY,https://www.instagram.com/erinforky,,,https://www.linkedin.com/in/erin-marshall-63903368/
334,BRETT GUTHRIE,2024,federal:house,KY,2,REPUBLICAN,unknown,Won,unknown,0.731017334,True,http://brettguthrie.com,,,,,,
335,HANK LINDERMAN,2024,federal:house,KY,2,DEMOCRAT,unknown,Lost,unknown,0.268982666,True,http://www.campaignforliberty.org/surveys2/?id=599,,,,,,
336,MORGAN MCGARVEY,2024,federal:house,KY,3,DEMOCRAT,unknown,Won,unknown,0.619464168,True,http://morganmcgarvey.com,,,,,,
337,MIKE CRAVEN,2024,federal:house,KY,3,REPUBLICAN,unknown,Lost,unknown,0.38038028,True,,,,,,https://www.facebook.com/profile.php?id=100014093976275,
338,THOMAS MASSIE,2024,federal:house,KY,4,REPUBLICAN,unknown,Won,unknown,0.995953734,True,http://thomasmassie.com,,,,,,
339,BENJAMIN AUGUST MIDDENDORF,2024,federal:house,KY,4,,unknown,Lost,unknown,0.004046266,False,,,,,,,
340,HAROLD ROGERS,2024,federal:house,KY,5,REPUBLICAN,unknown,Won,unknown,1,False,https://congressmanhalrogers.com/,,,,,,
341,ANDY BARR,2024,federal:house,KY,6,REPUBLICAN,unknown,Won,unknown,0.630371656,True,http://barrforsenate.com,,,,,,
342,RANDY CRAVENS,2024,federal:house,KY,6,DEMOCRAT,unknown,Lost,unknown,0.369628344,True,https://www.randycravens.com/,https://www.facebook.com/profile.php?id=61558790992202,https://x.com/randycravens,,,https://www.facebook.com/randy.cravens,https://www.linkedin.com/in/randy-cravens-itil-11b4055/
343,STEVE SCALISE,2024,federal:house,LA,1,REPUBLICAN,unknown,Won,unknown,0.667678631,True,http://stevescalise.com,,,,,,
344,MEL MANUEL,2024,federal:house,LA,1,DEMOCRAT,unknown,Lost,unknown,0.240162697,True,https://www.mel4louisiana.com/,https://www.facebook.com/mel4louisiana/,https://x.com/Mel4Louisiana,https://www.instagram.com/mel4louisiana/,,https://www.facebook.com/melvillemanuel/,https://www.linkedin.com/in/melrekic/
345,TROY A. CARTER,2024,federal:house,LA,2,DEMOCRAT,unknown,Won,unknown,0.602944453,False,https://www.congressmantroycarter.com/,https://www.facebook.com/troyc4congress,https://x.com/troyc4Congress,,,https://www.facebook.com/troy.c.carter.7,https://www.linkedin.com/in/troy-a-carter-sr-a6570b/
346,CHRISTY LYNCH,2024,federal:house,LA,2,REPUBLICAN,unknown,Lost,unknown,0.136445554,True,https://lynch4cd2.rocks/,https://www.facebook.com/profile.php?id=61562961193097,https://x.com/Lynch4CD2,https://www.instagram.com/Lynch4CD2.rocks/,,https://www.facebook.com/profile.php?id=61562263993908,
347,CLAY HIGGINS,2024,federal:house,LA,3,REPUBLICAN,unknown,Won,unknown,0.705618027,True,http://captainhiggins.com,,,,,,
348,PRISCILLA GONZALEZ,2024,federal:house,LA,3,DEMOCRAT,unknown,Lost,unknown,0.186583594,True,https://prisforcongress.com/,https://www.facebook.com/prisforcongress,https://x.com/Prisformayor,https://www.instagram.com/pris_for_louisiana/,,,https://www.linkedin.com/in/prisforcongress/
349,MIKE JOHNSON,2024,federal:house,LA,4,REPUBLICAN,unknown,Won,unknown,0.858196625,True,https://www.mikejohnsonforlouisiana.com/,,,,,,
350,JOSHUA MOROTT,2024,federal:house,LA,4,REPUBLICAN,unknown,Lost,unknown,0.141803375,False,,,,,,,
351,JULIA LETLOW,2024,federal:house,LA,5,REPUBLICAN,unknown,Won,unknown,0.628533286,True,http://julialetlow.com,,,,,,
352,"MICHAEL VALLIEN, JR.",2024,federal:house,LA,5,DEMOCRAT,unknown,Lost,unknown,0.259436425,False,https://bluevoterguide.org/LA/candidate_Michael_Vallien_Jr./564601,https://www.facebook.com/profile.php?id=61563667430113,,,,https://www.facebook.com/profile.php?id=100008417478777,https://www.linkedin.com/in/michael-vallien-67755167/
353,CLEO FIELDS,2024,federal:house,LA,6,DEMOCRAT,unknown,Won,unknown,0.507791361,True,http://cleofields.com,,,,,,
354,ELBERT GUILLORY,2024,federal:house,LA,6,REPUBLICAN,unknown,Lost,unknown,0.377447785,True,http://elbertguilloryforcongress.com,,,,,,
355,RICHARD E. NEAL,2024,federal:house,MA,1,DEMOCRAT,unknown,Won,unknown,0.580057402,False,https://www.nealforcongress.com/,,,,,,
356,NADIA DONYA MILLERON,2024,federal:house,MA,1,INDEPENDENT,unknown,Lost,unknown,0.346883807,False,https://nadiaforcongress.com/,,,,,https://www.facebook.com/nadia.milleron,
357,JAMES P. MCGOVERN,2024,federal:house,MA,2,DEMOCRAT,unknown,Won,unknown,0.645818404,False,https://www.jimmcgovern.com,https://www.facebook.com/McGovernForCongress/,https://x.com/McGovernMA,https://www.instagram.com/jimmcgovernma,https://repmcgovern.medium.com/,,
358,CORNELIUS SHEA,2024,federal:house,MA,2,INDEPENDENT,unknown,Lost,unknown,0.292972412,False,https://ivoterguide.com/candidate/86882/race/130/election/1256?culture=en-us,,,,,,
359,LORI TRAHAN,2024,federal:house,MA,3,DEMOCRAT,unknown,Won,unknown,0.729843001,True,http://loritrahan.com,,,,,,
360,BLANKS,2024,federal:house,MA,3,,unknown,Lost,unknown,0.251239391,False,https://www.houseofblanks.com/,,,,,,
361,JAKE AUCHINCLOSS,2024,federal:house,MA,4,DEMOCRAT,unknown,Won,unknown,0.703018626,True,http://jakeforma.com,,,,,,
362,BLANKS,2024,federal:house,MA,4,,unknown,Lost,unknown,0.276625573,False,https://www.houseofblanks.com/,,,,,,
363,KATHERINE M. CLARK,2024,federal:house,MA,5,DEMOCRAT,unknown,Won,unknown,0.755038833,False,https://katherineclark.org/,,,,,,
364,BLANKS,2024,federal:house,MA,5,,unknown,Lost,unknown,0.231263547,False,,,,,,,
365,SETH MOULTON,2024,federal:house,MA,6,DEMOCRAT,unknown,Won,unknown,0.732343304,True,http://sethmoulton.com,,,,,,
366,BLANKS,2024,federal:house,MA,6,,unknown,Lost,unknown,0.251260338,False,,,,,,,
367,AYANNA PRESSLEY,2024,federal:house,MA,7,DEMOCRAT,unknown,Won,unknown,0.819558324,True,http://ayannapressley.com,,,,,,
368,BLANKS,2024,federal:house,MA,7,,unknown,Lost,unknown,0.156052035,False,https://www.houseofblanks.com/,,,,,,
369,STEPHEN F. LYNCH,2024,federal:house,MA,8,DEMOCRAT,unknown,Won,unknown,0.667305231,False,,,,,,,
370,ROBERT G. BURKE,2024,federal:house,MA,8,REPUBLICAN,unknown,Lost,unknown,0.27814776,False,,,,,,,
371,WILLIAM R. KEATING,2024,federal:house,MA,9,DEMOCRAT,unknown,Won,unknown,0.541674102,False,,,,,,,
372,DAN SULLIVAN,2024,federal:house,MA,9,REPUBLICAN,unknown,Lost,unknown,0.416734574,True,https://nursedanforcongress.org/,,,,,,
373,ANDY HARRIS,2024,federal:house,MD,1,REPUBLICAN,unknown,Won,unknown,0.594087007,True,http://andyharris.com,,,,,,
374,BLANE H. MILLER III,2024,federal:house,MD,1,DEMOCRAT,unknown,Lost,unknown,0.373746021,False,https://www.elections.state.md.us/elections/archive/2024/Primary_Results/gen_results_2024_3_1_P.html,,,,,,
375,"JOHN \""JOHNNY O\"" OLSZEWSKI, JR.",2024,federal:house,MD,2,DEMOCRAT,unknown,Won,unknown,0.581602104,False,,,,,,,
376,KIM KLACIK,2024,federal:house,MD,2,REPUBLICAN,unknown,Lost,unknown,0.395221859,False,,https://www.facebook.com/KimberlyNKlacik/,,,,https://www.facebook.com/KimberlyKlacik7,https://www.linkedin.com/in/kimberly-klacik-58598a66/
377,SARAH ELFRETH,2024,federal:house,MD,3,DEMOCRAT,unknown,Won,unknown,0.592888277,True,http://elfrethformaryland.com,,,,,,
378,ROBERT J. STEINBERGER,2024,federal:house,MD,3,REPUBLICAN,unknown,Lost,unknown,0.378722445,False,https://robsteinbergerforcongress.com,,https://x.com/RJS4Congress,https://www.instagram.com/robsteinbergerforcongress,,https://www.facebook.com/profile.php?id=61552998666525,https://www.linkedin.com/in/robert-steinberger-5187281/
379,GLENN IVEY,2024,federal:house,MD,4,DEMOCRAT,unknown,Won,unknown,0.884215965,True,http://glennivey.com,,,,,,
380,GEORGE MCDERMOTT,2024,federal:house,MD,4,REPUBLICAN,unknown,Lost,unknown,0.112388825,True,https://mcdermottformd.com/,,,,,https://www.facebook.com/george.mcdermott.98,https://www.linkedin.com/in/george-mcdermott-809477176/
