Unnamed: 0,cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,contributions,percentage_votes,in_db,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
30,KATRINA SCHAFFNER,2024,federal:house,AZ,5,DEMOCRAT,unknown,Lost,unknown,0.396118193,True,https://www.katrinaforarizona.com,https://www.facebook.com/Katrina4AZ,https://x.com/Katrina4AZ,https://www.instagram.com/Katrina4AZ,,https://www.facebook.com/katrina.kopczak,https://www.linkedin.com/in/katrina-schaffner-798144297/
31,JUAN CISCOMANI,2024,federal:house,AZ,6,REPUBLICAN,unknown,Won,unknown,0.499967534,True,http://juanciscomani.com,,,,,,
32,KIRSTEN ENGEL,2024,federal:house,AZ,6,DEMOCRAT,unknown,Lost,unknown,0.474871295,True,https://www.engelforarizona.com/,,,,,,
33,RAúL M. GRIJALVA,2024,federal:house,AZ,7,DEMOCRAT,unknown,Won,unknown,0.634490851,False,https://standwithraul.com/,https://www.facebook.com/peopleforgrijalva,https://x.com/standwithraul,https://www.instagram.com/standwithraul/,,,
34,"DANIEL FRANCIS BUTIEREZ, SR.",2024,federal:house,AZ,7,REPUBLICAN,unknown,Lost,unknown,0.365509149,False,https://www.branch.vote/races/2024-arizona-general-election-az-state-us-representative-az-congressional-7/candidates/daniel-francis-butierez-sr,,,,,,
35,"ABRAHAM \""ABE\"" HAMADEH",2024,federal:house,AZ,8,REPUBLICAN,unknown,Won,unknown,0.565007203,False,https://www.abeforaz.com,https://www.facebook.com/abeforaz,https://x.com/AbrahamHamadeh,https://www.instagram.com/abrahamhamadeh/,,,https://www.linkedin.com/in/abrahamhamadeh/
36,GREGORY WHITTEN,2024,federal:house,AZ,8,DEMOCRAT,unknown,Lost,unknown,0.434992797,True,https://whittenforaz.com,https://www.facebook.com/whittenforaz,https://x.com/whittenforaz,https://www.instagram.com/whittenforaz,,,https://www.linkedin.com/in/gregory-whitten-94a61612/
37,PAUL A. GOSAR,2024,federal:house,AZ,9,REPUBLICAN,unknown,Won,unknown,0.65297745,False,https://drpaulgosar.com/,,,,,,
38,QUACY SMITH,2024,federal:house,AZ,9,DEMOCRAT,unknown,Lost,unknown,0.34702255,True,https://quacysmithforcongress.com/,https://www.facebook.com/QuacySmithForCongress,https://x.com/QuacySmithAZCD9,https://www.instagram.com/quacysmith4congress,,https://www.facebook.com/quacysmith,https://www.linkedin.com/in/quacy-l-smith-esq-89b63552/
39,DOUG LAMALFA,2024,federal:house,CA,1,REPUBLICAN,unknown,Won,unknown,0.653426391,True,http://douglamalfa.com,,,,,,
40,ROSE PENELOPE YEE,2024,federal:house,CA,1,DEMOCRAT,unknown,Lost,unknown,0.346573609,True,https://roseforcongress.com,https://www.facebook.com/rose4congress,https://x.com/RoseCA1Congress,https://www.instagram.com/rose_for_congress,,https://www.facebook.com/rose.p.yee,https://www.linkedin.com/in/roseyee/
41,JARED HUFFMAN,2024,federal:house,CA,2,DEMOCRAT,unknown,Won,unknown,0.718837671,True,http://jaredhuffman.com,,,,,,
