cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,percentage_votes
Mattie Parker,2023,Mayor,Texas,Fort Worth,REPUBLICAN,TRUE,Won,69.4
Jennifer Castillo,2023,Mayor,Texas,Fort Worth,NONPARTISAN,FALSE,Lost,12.1
Scott LeMay,2023,Mayor,Texas,Garland,NONPARTISAN,TRUE,Won,75.4
Roel Garcia,2023,Mayor,Texas,Garland,NONPARTISAN,FALSE,Lost,24.6
John Whitmire,2023,Mayor,Texas,Houston,DEMOCRAT,FALSE,Won,64.4
Sheila Jackson Lee,2023,Mayor,Texas,Houston,DEMOCRAT,FALSE,Lost,35.6
Ron Nirenberg,2023,Mayor,Texas,San Antonio,DEMOCRAT,TRUE,Won,60.7
Christopher Schuchardt,2023,Mayor,Texas,San Antonio,REPUBLICAN,FALSE,Lost,21.9
Erin Mendenhall,2023,Mayor,Utah,Salt Lake City,DEMOCRAT,TRUE,Won,58.4
Ross Anderson,2023,Mayor,Utah,Salt Lake City,JUSTICE,FALSE,Lost,34.4
Jack McCullough,2023,Mayor,Vermont,Montpelier,NONPARTISAN,FALSE,Won,53.5
Dan Jones,2023,Mayor,Vermont,Montpelier,NONPARTISAN,FALSE,Lost,33.6
Dontae Payne,2023,Mayor,Washington,Olympia,DEMOCRAT,FALSE,Won,69.5
David Ross,2023,Mayor,Washington,Olympia,DEMOCRAT,FALSE,Lost,30
Lisa Brown,2023,Mayor,Washington,Spokane,DEMOCRAT,FALSE,Won,51.7
Nadine Woodward,2023,Mayor,Washington,Spokane,REPUBLICAN,TRUE,Lost,47.7
Satya Rhodes-Conway,2023,Mayor,Wisconsin,Madison,DEMOCRAT,TRUE,Won,55.2
Gloria Reyes,2023,Mayor,Wisconsin,Madison,NONPARTISAN,FALSE,Lost,44.1
Suzanne LaFrance,2024,Mayor,Alaska,Anchorage,INDEPENDENT,FALSE,Won,53.5
David Bronson,2024,Mayor,Alaska,Anchorage,REPUBLICAN,TRUE,Lost,46.5
Beth Weldon,2024,Mayor,Alaska,Juneau,NONPARTISAN,TRUE,Won,59.4
Angela Rodell,2024,Mayor,Alaska,Juneau,NONPARTISAN,FALSE,Lost,40.6
Scott Anderson,2024,Mayor,Arizona,Gilbert,NONPARTISAN,FALSE,Won,56.6
Natalie DiBernardo,2024,Mayor,Arizona,Gilbert,NONPARTISAN,FALSE,Lost,43.1
Mark Freeman,2024,Mayor,Arizona,Mesa,REPUBLICAN,FALSE,Won,52.5
Scott Smith,2024,Mayor,Arizona,Mesa,REPUBLICAN,FALSE,Lost,46.8
Kate Gallego,2024,Mayor,Arizona,Phoenix,DEMOCRAT,TRUE,Won,62
Matt Evans,2024,Mayor,Arizona,Phoenix,NONPARTISAN,FALSE,Lost,37.8
